file_name,duration,model_name,device_used,number_of_speakers,processing_time_sec,human_verification_speaker
tests_data_dev00.wav,30.0,wavlm,cpu,2,26.68,2
tests_data_dev00.wav,30.0,wav2vec2,cpu,2,12.17,2
tests_data_dev00.wav,30.0,hubert,cpu,2,20.64,2
tests_data_dev00.wav,30.0,wavlm,cuda,2,2.82,2
tests_data_dev00.wav,30.0,wav2vec2,cuda,2,0.96,2
tests_data_dev00.wav,30.0,hubert,cuda,2,1.01,2
tests_data_dev01.wav,30.0,wavlm,cpu,2,8.13,2
tests_data_dev01.wav,30.0,wav2vec2,cpu,2,8.37,2
tests_data_dev01.wav,30.0,hubert,cpu,2,7.46,2
tests_data_dev01.wav,30.0,wavlm,cuda,2,0.91,2
tests_data_dev01.wav,30.0,wav2vec2,cuda,2,0.64,2
tests_data_dev01.wav,30.0,hubert,cuda,2,0.58,2
tests_data_empty.wav,1.0,wavlm,cpu,0,0.0,0
tests_data_empty.wav,1.0,wav2vec2,cpu,0,0.0,0
tests_data_empty.wav,1.0,hubert,cpu,0,0.0,0
tests_data_empty.wav,1.0,wavlm,cuda,0,0.0,0
tests_data_empty.wav,1.0,wav2vec2,cuda,0,0.0,0
tests_data_empty.wav,1.0,hubert,cuda,0,0.0,0
tests_data_trn02.wav,30.0,wavlm,cpu,2,11.09,0
tests_data_trn02.wav,30.0,wav2vec2,cpu,3,10.99,0
tests_data_trn02.wav,30.0,hubert,cpu,2,15.12,0
tests_data_trn02.wav,30.0,wavlm,cuda,2,1.35,0
tests_data_trn02.wav,30.0,wav2vec2,cuda,3,0.89,0
tests_data_trn02.wav,30.0,hubert,cuda,2,0.79,0
tests_data_trn03.wav,30.0,wavlm,cpu,2,13.68,2
tests_data_trn03.wav,30.0,wav2vec2,cpu,2,13.64,2
tests_data_trn03.wav,30.0,hubert,cpu,2,12.99,2
tests_data_trn03.wav,30.0,wavlm,cuda,2,1.19,2
tests_data_trn03.wav,30.0,wav2vec2,cuda,2,0.78,2
tests_data_trn03.wav,30.0,hubert,cuda,2,0.8,2
tests_data_trn04.wav,30.0,wavlm,cpu,2,4.43,2
tests_data_trn04.wav,30.0,wav2vec2,cpu,2,5.21,2
tests_data_trn04.wav,30.0,hubert,cpu,2,4.25,2
tests_data_trn04.wav,30.0,wavlm,cuda,2,0.55,2
tests_data_trn04.wav,30.0,wav2vec2,cuda,2,0.38,2
tests_data_trn04.wav,30.0,hubert,cuda,2,0.38,2
tests_data_trn05.wav,30.0,wavlm,cpu,2,8.43,2
tests_data_trn05.wav,30.0,wav2vec2,cpu,2,7.35,2
tests_data_trn05.wav,30.0,hubert,cpu,2,8.21,2
tests_data_trn05.wav,30.0,wavlm,cuda,2,0.82,2
tests_data_trn05.wav,30.0,wav2vec2,cuda,2,0.56,2
tests_data_trn05.wav,30.0,hubert,cuda,2,0.57,2
tests_data_trn06.wav,30.0,wavlm,cpu,2,11.64,2
tests_data_trn06.wav,30.0,wav2vec2,cpu,2,11.31,2
tests_data_trn06.wav,30.0,hubert,cpu,2,11.29,2
tests_data_trn06.wav,30.0,wavlm,cuda,2,1.05,2
tests_data_trn06.wav,30.0,wav2vec2,cuda,2,0.73,2
